compartment_yeast,day,yeast,average_weighted_mtype_diet1,average_weighted_mtype_diet2
Feces,1,Clavispora_P2_GCA_009498075.1,9.228340916436446e-05,9.798323118007109e-05
Feces,1,Penicillium_gca_002072345.ASM207234v1,0.0001137473669695,6.15578397514541e-05
Feces,1,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,3.077070284641783e-05,4.1149535241767264e-05
Feces,1,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,9.073826695388448e-05,0.0001204063705818
Feces,1,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,6.683553938332962e-05,2.623058192276209e-05
Feces,7,Aureobasidium_EXF,3.192199942594872e-05,-0.0001577150113047
Feces,7,Clavispora_P2_GCA_009498075.1,9.734966127569778e-05,-8.130623772725842e-05
Feces,7,Penicillium_gca_002072345.ASM207234v1,2.0052825294134648e-05,-0.0001468836991364
Feces,7,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,1.5490368983315747e-05,4.4376080222574125e-05
Feces,7,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,6.716359967523466e-05,-0.0001499884435394
Feces,7,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0001108045721787,-0.0001523901846699
Feces,21,Aureobasidium_EXF,0.000111640046749,0.0001678628254101
Feces,21,Clavispora_P2_GCA_009498075.1,0.0005589687121506,-0.000249310902516
Feces,21,Penicillium_gca_002072345.ASM207234v1,0.000445691302458,-0.0002114544245447
Feces,21,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.0003717370630396,-0.0004742698638554
Feces,21,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0005966859596587,-0.0001833243869654
Feces,21,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0005089830640989,-3.691095941471256e-05
Feces,35,Aureobasidium_EXF,0.0004234617589146,0.0004588716825573
Feces,35,Clavispora_P2_GCA_009498075.1,0.0007684220344051,0.0001493507041714
Feces,35,Penicillium_gca_002072345.ASM207234v1,0.0009586454141557,0.0004670975814267
Feces,35,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.0007301108696712,0.0004833307596932
Feces,35,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0006979663956965,0.000205841099243
Feces,35,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0007078220091071,0.0002082593333458
